Study_Hours,Attendance_Rate,Previous_Grades,Participation_Score,Parental_Involvement,Passed
7.2,88,74,7,2,1
3.1,65,42,3,0,0
8.5,92,85,9,2,1
2.4,61,38,2,0,0
6.8,80,70,6,1,1
5.5,75,60,5,1,1
1.8,62,30,2,0,0
9.1,95,90,9,2,1
4.2,70,50,4,1,0
7.8,85,78,8,2,1
3.5,68,44,3,0,0
6.1,78,65,6,1,1
8.9,93,88,9,2,1
2.1,63,35,2,0,0
5.8,76,62,5,1,1
4.5,72,52,4,1,0
7.5,87,76,7,2,1
1.5,60,28,1,0,0
9.3,96,92,10,2,1
3.8,67,46,3,0,0
6.5,82,68,7,1,1
8.2,91,83,8,2,1
2.8,64,40,2,0,0
5.2,74,58,5,1,0
7.1,86,72,7,2,1
4.8,73,55,4,1,1
1.2,61,25,1,0,0
9.5,97,94,10,2,1
3.2,66,43,3,0,0
6.9,81,71,7,1,1
8.7,94,87,9,2,1
2.5,62,37,2,0,0
5.6,77,61,6,1,1
4.1,69,49,4,0,0
7.6,88,77,8,2,1
1.9,63,32,2,0,0
9.2,95,91,10,2,1
3.6,68,45,3,0,0
6.3,79,66,6,1,1
8.4,92,84,9,2,1
2.2,64,36,2,0,0
5.9,76,63,6,1,1
4.6,71,53,4,1,0
7.3,86,74,7,2,1
1.6,61,29,1,0,0
9.4,96,93,10,2,1
3.9,67,47,3,0,0
6.6,82,69,7,1,1
8.1,90,82,8,2,1
2.9,65,41,3,0,0
5.3,75,59,5,1,1
7.9,89,79,8,2,1
4.3,70,51,4,1,0
1.3,60,26,1,0,0
9.0,95,90,9,2,1
3.3,66,44,3,0,0
6.7,81,70,7,1,1
8.6,93,86,9,2,1
2.6,63,38,2,0,0
5.7,77,62,5,1,1
4.9,73,56,5,1,1
7.4,87,75,7,2,1
1.7,62,30,2,0,0
9.6,97,95,10,2,1
3.7,68,46,3,0,0
6.4,80,67,6,1,1
8.3,91,83,8,2,1
2.3,64,36,2,0,0
5.1,74,57,5,1,0
4.7,72,54,5,1,1
7.7,88,77,8,2,1
1.4,61,27,1,0,0
9.7,98,96,10,2,1
3.4,67,45,3,0,0
6.2,79,66,6,1,1
8.8,94,88,9,2,1
2.7,64,39,2,0,0
5.4,76,60,6,1,1
4.4,71,52,4,1,0
7.0,85,71,7,1,1
2.0,63,33,2,0,0
9.8,98,97,10,2,1
4.0,69,48,4,0,0
6.0,78,64,6,1,1
8.0,90,81,8,2,1
3.0,65,42,3,0,0
5.0,74,57,5,1,0
5.5,73,55,5,1,1
7.2,84,73,7,2,1
1.1,60,24,1,0,0
9.9,99,98,10,2,1
3.1,66,43,3,0,0
6.8,81,70,7,1,1
8.5,92,85,9,2,1
2.4,64,37,2,0,0
5.8,77,62,6,1,1
4.2,70,50,4,1,0
7.5,87,76,7,2,1
1.8,62,31,2,0,0
9.1,95,91,9,2,1
3.8,67,46,3,0,0
6.5,80,68,6,1,1
8.2,91,83,8,2,1
2.8,65,40,3,0,0
5.2,75,58,5,1,0
7.8,88,78,8,2,1
4.5,72,53,4,1,1
1.5,61,28,1,0,0
6.1,78,65,6,1,1
3.5,67,44,3,0,0
9.3,96,93,10,2,1
5.6,76,61,5,1,1
4.8,73,56,5,1,1
2.1,63,35,2,0,0
7.1,85,72,7,2,1
8.9,94,89,9,2,1
3.2,66,43,3,0,0
6.9,82,71,7,1,1
1.2,60,25,1,0,0
5.9,77,63,6,1,1
4.1,69,49,4,0,0
9.5,97,94,10,2,1
7.6,88,77,8,2,1
2.5,63,37,2,0,0
6.3,79,67,6,1,1
3.6,68,45,3,0,0
8.4,93,85,9,2,1
5.3,75,59,5,1,1
4.6,71,53,4,1,0
1.9,62,32,2,0,0
7.3,86,74,7,2,1
9.2,96,92,10,2,1
3.9,67,47,3,0,0
6.6,81,69,7,1,1
2.2,63,36,2,0,0
5.7,76,62,5,1,1
8.1,91,82,8,2,1
4.3,70,51,4,1,0
1.6,61,29,1,0,0
7.9,89,79,8,2,1
3.3,66,44,3,0,0
9.4,97,93,10,2,1
6.7,81,70,7,1,1
2.9,65,41,3,0,0
5.4,76,60,5,1,1
4.9,73,55,5,1,1
7.4,87,75,7,2,1
1.3,60,26,1,0,0
9.0,95,90,9,2,1
3.7,68,46,3,0,0
6.4,80,67,6,1,1
8.6,93,86,9,2,1
2.6,63,38,2,0,0
5.1,74,57,5,1,0
4.7,72,54,4,1,1
